Configuration	BlinkTest.ioc
STM8CubeMX 	1.5.0
Date	06/28/2025
MCU	STM8S103F3Px



PERIPHERALS	MODES	FUNCTIONS	PINS
ADC	IN4	ADC_IN4	PD3
I2C	I2C	I2C_SCL	PB4
I2C	I2C	I2C_SDA	PB5
SPI	Full-Duplex Slave	SPI_MISO	PC7
SPI	Full-Duplex Slave	SPI_MOSI	PC6
SPI	Full-Duplex Slave	SPI_SCK	PC5
SYS	Beep Output	SYS_BEEP	PD4
SYS	Top Level Interrupt	SYS_TLI	PC3
TIM2	Input CH3	TIM2_CH3	PA3
UART1	Asynchronous	UART1_RX	PD6
UART1	Asynchronous	UART1_TX	PD5



Pin Nb	PINs	FUNCTIONs	LABELs
1	PD4	SYS_BEEP	
2	PD5	UART1_TX	
3	PD6	UART1_RX	
10	PA3	TIM2_CH3	
11	PB5	I2C_SDA	
12	PB4	I2C_SCL	
13	PC3	SYS_TLI	
14	PC4	GPIO_Output	
15	PC5	SPI_SCK	
16	PC6	SPI_MOSI	
17	PC7	SPI_MISO	
20	PD3	ADC_IN4	
