"Position","Name","Type","Signal","Label"
"1","PD4","I/O","SYS_BEEP",""
"2","PD5","I/O","UART1_TX",""
"3","PD6","I/O","UART1_RX",""
"4","NRST","Reset","",""
"5","PA1","I/O","",""
"6","PA2","I/O","",""
"7","VSS","Power","",""
"8","VCAP","Power","",""
"9","VDD","Power","",""
"10","PA3","I/O","TIM2_CH3",""
"11","PB5","I/O","I2C_SDA",""
"12","PB4","I/O","I2C_SCL",""
"13","PC3","I/O","SYS_TLI",""
"14","PC4","I/O","",""
"15","PC5","I/O","SPI_SCK",""
"16","PC6","I/O","SPI_MOSI",""
"17","PC7","I/O","SPI_MISO",""
"18","PD1","I/O","",""
"19","PD2","I/O","",""
"20","PD3","I/O","ADC_IN4",""
